"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"100457-1010043","","Лещинский ручей","","55.605037","37.477028","","","0","","","0","",""
"100457-1010060","","Валдайский проезд","","55.863469","37.468491","","","0","","","0","",""
"100457-1010040","","Проектируемый проезд № 7502","","55.604845","37.469554","","","0","","","0","",""
"100457-1010062","","Родниковая улица, 18","","55.634173","37.387494","","","0","","","0","",""
"100457-1010063","","Родниковая улица, 18","","55.635717","37.385857","","","0","","","0","",""
"100457-1010065","","Библиотечная улица","","55.745057","37.679022","","","0","","","0","",""
"100457-1010122","","Метро «Новаторская»","","55.668449","37.524298","","","0","","","0","",""
"100457-5631","","Саратовская ул.","","55.716028","37.742992","","","0","","","0","",""
"100457-1010070","","Парк Хуамин","","55.844876","37.635683","","","0","","","0","",""
"100457-1010123","","МЖК «Рождествено»","","55.862399","37.362332","","","0","","","0","",""
"100457-1010124","","Парк «Торфянка»","","55.876696","37.684247","","","0","","","0","",""
"100457-1010125","","Парк «Торфянка»","","55.8764","37.684735","","","0","","","0","",""
"100457-1010072","","Палехская улица, 131","","55.87434","37.708563","","","0","","","0","",""
"100457-1010127","","Шоссейный проезд","","55.701771","37.72528","","","0","","","0","",""
"100457-1010128","","Шоссейный проезд","","55.701673","37.725545","","","0","","","0","",""
"100457-1010130","","Улица Авиаконструктора Микояна, 14","","55.793267","37.521338","","","0","","","0","",""
"100457-1010132","","Метро «Терехово»","","55.747932","37.45891","","","0","","","0","",""
"100457-1010081","","Метро «Прокшино»","","55.585673","37.433579","","","0","","","0","",""
"100457-1010133","","Метро «Терехово»","","55.748073","37.460201","","","0","","","0","",""
"100457-1010084","","ЖК «Лефортово парк»","","55.75097","37.706843","","","0","","","0","",""
"100457-1010136","","Метро «Аминьевская»","","55.695813","37.465052","","","0","","","0","",""
"100457-1010137","","Метро «Аминьевская»","","55.695518","37.46463","","","0","","","0","",""
"100457-1010087","","Районный центр «Высота»","","55.700689","37.762241","","","0","","","0","",""
"100457-1010088","","Улица Юных Ленинцев, 56","","55.699741","37.767909","","","0","","","0","",""
"100457-1010089","","Родниковая улица, 30","","55.631756","37.411369","","","0","","","0","",""
"100457-1010140","","Керченская улица, 3","","55.650922","37.579186","","","0","","","0","",""
"100457-1010090","","Родниковая улица, 30","","55.631182","37.409433","","","0","","","0","",""
"100457-1010143","","Метро «Мичуринский проспект»","","55.688404","37.486336","","","0","","","0","",""
"100457-1010091","","Спортивная школа","","55.701668","37.77773","","","0","","","0","",""
"100457-1010148","","Румянцево","","55.628742","37.431335","","","0","","","0","",""
"100457-1010094","","Метро «Полежаевская»","","55.776934","37.516889","","","0","","","0","",""
