"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order","continuous_pickup","continuous_drop_off"
"100457-580","100457-1","863","Метро «Саларьево» - Микрорайон Град Московский","","3","","","","","",""
"100457-1507","100457-1","н11","Аэропорт Внуково - Метро «Китай-город»","","3","","","","","",""
"100457-1873","100457-1","886","Метро «Рассказовка» - Метро «Рассказовка»","","3","","","","","",""
"100457-1264","100457-1","49","Нагатино - Даниловская мануфактура","","0","","","","","",""
"100457-278","100457-1","16","Чертаново Южное - Даниловская мануфактура","","0","","","","","",""
"100457-420","100457-1","25","Останкино - Метро «Сокольники»","","0","","","","","",""
"100457-1906","100457-1","382","Ямское Поле - Ямское Поле","","3","","","","","",""
"100457-453","100457-1","9","Белорусский вокзал - Миит","","0","","","","","",""
"100457-1678","100457-1","т34","Метро «Парк Победы» - Метро «Парк Победы»","","3","","","","","",""
"100457-550","100457-1","788","Метро «Лухмановская» - 13-й кв. Люберецких полей","","3","","","","","",""
"100457-1944","100457-1","323","МЦК Лихоборы - МЦК Лихоборы","","3","","","","","",""
"100457-1914","100457-1","н8","Остафьевская улица - Метро «Китай-город»","","3","","","","","",""
"100457-1926","100457-1","т76","Холмогорская ул. - Метро «Вднх»","","3","","","","","",""
"100457-1972","100457-1","с23","Дворец спорта «Мегаспорт» - Дворец спорта «Мегаспорт»","","3","","","","","",""
"100457-443","100457-1","50","Проезд Энтузиастов - Метро «Новослободская»","","0","","","","","",""
"100457-1986","100457-1","Sk1","ОРП Р5 - ОРП Р5","","3","","","","","",""
"100457-2016","100457-1","т58","МЦД Грачёвская - МЦД Грачёвская","","3","","","","","",""
"100457-343","100457-1","3","Метро «Чертановская» - Метро «Чистые пруды»","","0","","","","","",""
"100457-1989","100457-1","т61","Карамышевская набережная - Карамышевская набережная","","3","","","","","",""
"100457-1990","100457-1","т81","Метро «Беляево» - Метро «Битцевский парк»","","3","","","","","",""
"100457-2029","100457-1","т65","Серебряный бор - Серебряный бор","","3","","","","","",""
"100457-1802","100457-1","т70","Братцево - Белорусский вокзал","","3","","","","","",""
"100457-2033","100457-1","т59","Серебряный бор - Метро «Сокол»","","3","","","","","",""
"100457-306","100457-1","10","Таллинская улица - Метро «Щукинская»","","0","","","","","",""
"100457-867","100457-1","7","Метро «Бульвар Рокоссовского» - Белорусский вокзал","","0","","","","","",""
"100457-315","100457-1","21","Таллинская улица - Метро «Щукинская»","","0","","","","","",""
"100457-422","100457-1","13","Метрогородок - Каланчёвская улица","","0","","","","","",""
"100457-2048","100457-1","н12","8-й микрорайон Митина - Метро «Китай-город»","","3","","","","","",""
"100457-141500021","100457-103","320","Киевский вокзал - МЦД Поклонная","","3","","","","","",""
"100457-264","100457-1","28","Проспект Маршала Жукова - Метро «Сокол»","","0","","","","","",""
"100457-310","100457-1","15","Таллинская улица - Метро «Сокол»","","0","","","","","",""
"100457-329","100457-1","31","Проспект Маршала Жукова - Метро «Войковская»","","0","","","","","",""
"100457-322","100457-1","30","Таллинская улица - Михалково","","0","","","","","",""
"100457-141500018","100457-61","597","Метро «Сокол» - Набережная Новикова-Прибоя","","3","","","","","",""
"100457-141500280","100457-601","414","Ул. Павла Корчагина - Ул. Павла Корчагина","","3","","","","","",""
"100457-141500015","100457-61","с321","Центр международной торговли - Центр международной торговли","","3","","","","","",""
"100457-141500214","100457-601","386","Метро «Волгоградский проспект» (западный вход) - Автомобильный проезд, 10","","3","","","","","",""
"100457-141500010","100457-601","346","Платф. Лось - Платформа Лось","","3","","","","","",""
"100457-141500012","100457-61","376","Крылатское - Крылатское","","3","","","","","",""
"100457-141500014","100457-61","412","Покровский берег - Ул. Серегина","","3","","","","","",""
"100457-1589","100457-1","470","Парк «Фили» - Метро «Университет»","","3","","","","","",""
"100457-319","100457-1","23","Михалково - Метро «Сокол»","","0","","","","","",""
"100457-325","100457-1","27","Метро «Дмитровская» - Метро «Войковская»","","0","","","","","",""
"100457-141500016","100457-61","432","Метро «Сходненская» - 1-й Тушинский пр","","3","","","","","",""
"100457-2204","100457-1","238к","Микрорайон 4 «Д» Отрадного - Микрорайон 4 «Д» Отрадного","","3","","","","","",""
"100457-141500255","100457-601","567","Смирновская улица, 25 - Смирновская ул., 25","","3","","","","","",""
"100457-141500202","100457-601","338","Метро «Речной вокзал» - Метро «Речной вокзал»","","3","","","","","",""
"100457-141500159","100457-601","360","Завод «Красный путь» - Завод «Красный путь»","","3","","","","","",""
"100457-331","100457-1","6","Братцево - Метро «Сокол»","","0","","","","","",""
"100457-141500172","100457-601","139","Метро «Водный стадион» - МЦК Лихоборы","","3","","","","","",""
"100457-141500256","100457-601","571","МЦД Грачёвская - Мкр. 4 «Д» Отрадного","","3","","","","","",""
"100457-141500211","100457-601","378","Ул. Павла Корчагина - Ул. Павла Корчагина","","3","","","","","",""
"100457-141500238","100457-103","496","Вднх (главный вход) - Городок Моссовета","","3","","","","","",""
"100457-141500210","100457-103","375","Платформа Лось - Вднх (главный вход)","","3","","","","","",""
"100457-141500197","100457-601","319","Метро «Петровский парк» - Метро «Динамо»","","3","","","","","",""
"100457-141500235","100457-601","474","Киевский вокзал - Матвеевское","","3","","","","","",""
"100457-141500232","100457-61","466","МЦД Бескудниково - Савёловский вокзал","","3","","","","","",""
"100457-141500237","100457-101","491","Метро «Кузьминки» - МЦД Плющево","","3","","","","","",""
"100457-141500241","100457-61","502","Метро «Выхино» - Метро «Выхино»","","3","","","","","",""
"100457-141500226","100457-101","443","Метро «Кузьминки» - Метро «Кузьминки»","","3","","","","","",""
"100457-141500258","100457-601","579","МЦД Переделкино - Насосная улица","","3","","","","","",""
"100457-141500213","100457-103","380","МЦД Дегунино - Проезд Русанова","","3","","","","","",""
"100457-141500262","100457-101","602","Метро «Выхино» - Метро «Выхино»","","3","","","","","",""
"100457-141500208","100457-601","372","Метро «Партизанская» - Метро «Партизанская»","","3","","","","","",""
"100457-141500207","100457-601","365","Смирновская улица, 25 - Смирновская ул., 25","","3","","","","","",""
"100457-141500273","100457-601","667","Метро «Озёрная» - Метро «Озёрная»","","3","","","","","",""
"100457-141500272","100457-61","660","Метро «Молодёжная» - Метро «Молодёжная»","","3","","","","","",""
"100457-141500233","100457-601","469","МЦД Перово - Метро «Черкизовская»","","3","","","","","",""
"100457-141500161","100457-601","371","Метро «Рязанский проспект» - МЦД Чухлинка","","3","","","","","",""
"100457-141500251","100457-601","553","Метро «Ленинский проспект» - Мега - Оби","","3","","","","","",""
"100457-141500193","100457-601","311","МЦД Останкино - Метро «Бульвар Рокоссовского»","","3","","","","","",""
"100457-141500222","100457-61","429","Метро «Кузьминки» - Метро «Нижегородская»","","3","","","","","",""
"100457-141500204","100457-601","343","Метро «Юго-Западная» - Метро «Юго-Западная»","","3","","","","","",""
"100457-317","100457-1","29","Метро «Дмитровская» - Михалково","","0","","","","","",""
"100457-141500201","100457-601","334","МЦД Чухлинка - Метро «Кузьминки»","","3","","","","","",""
"100457-141500196","100457-601","318","МЦД Гражданская - МЦД Гражданская","","3","","","","","",""
"100457-2208","100457-1","557","Уссурийская улица - Уссурийская улица","","3","","","","","",""
"100457-141500250","100457-601","552","Метро «Черкизовская» (северный вход) - Метро «Черкизовская»","","3","","","","","",""
"100457-141500224","100457-101","438","Промзона Курьяново - Улица Коломникова","","3","","","","","",""
"100457-141500259","100457-61","591","МЦД Грачёвская - Метро «Войковская»","","3","","","","","",""
"100457-141500218","100457-601","404","Метро «Калужская» - Метро «Калужская»","","3","","","","","",""
"100457-141500171","100457-601","119","Метро «Нагорная» - Киевский вокзал","","3","","","","","",""
"100457-141500194","100457-101","312","Ветеринарная академия - Ветеринарная академия","","3","","","","","",""
"100457-141500191","100457-61","294","1-й Силикатный проезд - 1-й Силикатный проезд","","3","","","","","",""
"100457-141500166","100457-61","83","МЦД Перово - МЦД Перово","","3","","","","","",""
"100457-141500158","100457-61","26","Метро «Сокол» - Метро «Сокол»","","3","","","","","",""
"100457-141500199","100457-601","329","Тропарёво - Давыдково","","3","","","","","",""
"100457-141500188","100457-61","270","Лобненская улица - Метро «Речной вокзал»","","3","","","","","",""
"100457-141500268","100457-601","341","Матвеевское - Давыдково","","3","","","","","",""
"100457-141500300","100457-61","314","Метро «Выхино» - МЦД Перово","","3","","","","","",""
"100457-141500327","100457-61","464","Молодогвардейская улица (Мкад) - Метро «Университет»","","3","","","","","",""
"100457-141500227","100457-61","451","8-й микрорайон Митина - Метро «Речной вокзал»","","3","","","","","",""
"100457-141500181","100457-61","215","МЦД Грачёвская - Метро «Петровско-Разумовская»","","3","","","","","",""
"100457-141500206","100457-61","352","МЦД Долгопрудная - МЦД Долгопрудная","","3","","","","","",""
"100457-141500183","100457-601","236","Матвеевское - Молодогвардейская улица (Мкад)","","3","","","","","",""
"100457-141500189","100457-61","282","Метро «Войковская» - Ул. Корнейчука","","3","","","","","",""
"100457-141500169","100457-61","100","Щукино - Метро «Сокол»","","3","","","","","",""
"100457-141500320","100457-61","115","138-й квартал Выхина - 138-й кв. Выхина","","3","","","","","",""
"100457-141500180","100457-61","206","Лобненская улица - Метро «Селигерская»","","3","","","","","",""
"100457-141500221","100457-101","428","Вднх (главный вход) - Вднх (главный вход)","","3","","","","","",""
"100457-141500265","100457-101","618","Осташковская ул. - Осташковская улица","","3","","","","","",""
"100457-141500261","100457-101","601","Абрамцевская ул. - Абрамцевская улица","","3","","","","","",""
"100457-141500284","100457-101","771","Абрамцевская ул. - Абрамцевская улица","","3","","","","","",""
"100457-141500178","100457-101","195","Вднх (главный вход) - Вднх (главный вход)","","3","","","","","",""
"100457-141500177","100457-61","191","МЦД Грачёвская - Метро «Селигерская»","","3","","","","","",""
"100457-141500162","100457-101","56","Вднх (главный вход) - Платф. Яуза","","3","","","","","",""
"100457-141500263","100457-101","606","Улица Корнейчука - Осташковская улица","","3","","","","","",""
"100457-141500274","100457-61","673","МЦД Грачёвская - Метро «Речной вокзал»","","3","","","","","",""
"100457-141500279","100457-101","714","Ул. Павла Корчагина - Ул. Павла Корчагина","","3","","","","","",""
"100457-1981","100457-1","О24","Красноказарменная площадь - Красноказарменная площадь","","3","","","","","",""
"100457-2217","100457-1","Мц2","Метро «Филатов Луг» - Миграционный центр","","3","","","","","",""
"100457-2145","100457-1","с755","Стадион «Лужники» - МЦК Новохохловская","","3","","","","","",""
"100457-2225","100457-1","993","Метро «Каховская» - Метро «Новые Черёмушки»","","3","","","","","",""
"100457-141500134","100457-601","с894","Метро «Орехово» - Гурьевский проезд","","3","","","","","",""
"100457-2197","100457-1","с344","1-й Силикатный проезд - 1-й Силикатный проезд","","3","","","","","",""
"100457-2068","100457-1","с908","Платф. Чертаново - Посёлок Измайлово","","3","","","","","",""
"100457-2081","100457-1","с249","Стадион «Лужники» - Стадион «Лужники»","","3","","","","","",""
"100457-141500630","100457-101","519","Метро «Тимирязевская» - Метро «Тимирязевская»","","3","","","","","",""
"100457-2199","100457-1","е91","Коктебельская улица - Коктебельская улица","","3","","","","","",""
"100457-2149","100457-1","984","3-й Павелецкий проезд - Метро «Пролетарская»","","3","","","","","",""
"100457-1612","100457-1","м31","Метро «Краснопресненская» - Башни Око и Нева","","3","","","","","",""
"100457-2062","100457-1","с970","Метро «Южная» - Промзона Бирюлёво","","3","","","","","",""
"100457-2088","100457-1","с962","Чертаново Южное - Ерино","","3","","","","","",""
"100457-2089","100457-1","с919","Чертаново Южное - Щербинское кладбище","","3","","","","","",""
"100457-2087","100457-1","м96","Бирюлёво Западное - Красный Маяк","","3","","","","","",""
"100457-2057","100457-1","с869","Ереванская улица - Электрический завод","","3","","","","","",""
"100457-2092","100457-1","с988","Метро «Южная» - Платф. Чертаново","","3","","","","","",""
"100457-2098","100457-1","с914","Метро «Южная» - Промзона Чертаново","","3","","","","","",""
"100457-141500620","100457-61","с799","138-й квартал Выхина - Серпуховский Вал","","3","","","","","",""
"100457-2078","100457-1","с951","Метро «Нагатинская» - Метро «Нагатинская»","","3","","","","","",""
"100457-2130","100457-1","е10","Метро «Саларьево» - Метро «Китай-город»","","3","","","","","",""
"100457-2242","100457-1","с918","Метро «Каховская» - Метро «Каховская»","","3","","","","","",""
"100457-2085","100457-1","с532","Метро «Тимирязевская» - Метро «Тимирязевская»","","3","","","","","",""
"100457-2243","100457-1","947","Метро «Варшавская» - МЦД Красный Строитель","","3","","","","","",""
"100457-2071","100457-1","с929","Метро «Южная» - Метро «Нагорная»","","3","","","","","",""
"100457-2076","100457-1","с806","Метро «Нагатинская» - Метро «Нагатинская»","","3","","","","","",""
"100457-2079","100457-1","с997","Чертаново Южное - Аннино","","3","","","","","",""
"100457-2169","100457-1","524","МЦД Окружная - МЦД Окружная","","3","","","","","",""
"100457-2226","100457-1","499","МЦД Лианозово - МЦД Лианозово","","3","","","","","",""
"100457-2107","100457-1","с891","Ст. Бирюлево-тов. - Метро «Каширская»","","3","","","","","",""
"100457-2173","100457-1","965","Метро «Варшавская» - Даниловский рынок","","3","","","","","",""
"100457-2157","100457-1","921","Бирюлёво Западное - Метро «Царицыно»","","3","","","","","",""
"100457-2186","100457-1","м78","Метро «Орехово» - Метро «Выхино»","","3","","","","","",""
"100457-2050","100457-1","897","Метро «Каширская» - Метро «Варшавская»","","3","","","","","",""
"100457-2163","100457-1","980","Метро «Южная» - Чертаново Южное","","3","","","","","",""
"100457-2070","100457-1","с795","Капотня - Капотня","","3","","","","","",""
"100457-2080","100457-1","с263","Стадион «Лужники» - Стадион «Лужники»","","3","","","","","",""
"100457-2093","100457-1","с364","Метро «Краснопресненская» - Песчаная пл","","3","","","","","",""
"100457-2095","100457-1","с339","Улица Расплетина - Метро «Полежаевская»","","3","","","","","",""
"100457-2230","100457-1","948","Коктебельская улица - Коктебельская улица","","3","","","","","",""
"100457-2200","100457-1","м79","6-й микрорайон Жулебина - 13-я городская больница","","3","","","","","",""
"100457-2135","100457-1","с790","МЦК ЗИЛ - Саратовская улица","","3","","","","","",""
"100457-2059","100457-1","с839","Метро «Кантемировская» - Бюро судебно-медицинской экспертизы","","3","","","","","",""
"100457-2064","100457-1","с960","Метро «Южная» - Харьковский пр","","3","","","","","",""
"100457-2074","100457-1","с941","Метро «Южная» - Красный Маяк","","3","","","","","",""
"100457-2134","100457-1","с835","Метро «Кожуховская» - Метро «Пролетарская»","","3","","","","","",""
"100457-2137","100457-1","с910","3-й Павелецкий проезд - 3-й Павелецкий проезд","","3","","","","","",""
"100457-2139","100457-1","с932","3-й Павелецкий проезд - 3-й Павелецкий проезд","","3","","","","","",""
"100457-2060","100457-1","с823","Метро «Каширская» - 6-й микрорайон Орехово-Борисова","","3","","","","","",""
"100457-2228","100457-1","322","1-й Силикатный проезд - Метро «Сокол»","","3","","","","","",""
"100457-2133","100457-1","с856","Нагатинский Затон - Нагатинский Затон","","3","","","","","",""
"100457-2142","100457-1","с633","Дворец спорта «Сокольники» - Дворец спорта «Сокольники»","","3","","","","","",""
"100457-2161","100457-1","933","Бирюлёво Западное - Станция Бирюлёво-Товарная","","3","","","","","",""
"100457-2184","100457-1","м77","Каширское шоссе (Мкад) - Каширское шоссе (Мкад)","","3","","","","","",""
"100457-2190","100457-1","с163","Метро «Варшавская» - Метро «Варшавская»","","3","","","","","",""
"100457-141500621","100457-601","с854","Метро «Орехово» - 3-я Радиальная ул","","3","","","","","",""
"100457-2219","100457-1","с543","Метро «Владыкино» - Долгоруковская улица","","3","","","","","",""
"100457-2221","100457-1","379","Стадион «Лужники» - Савёловский вокзал","","3","","","","","",""
"100457-2096","100457-1","с585","Улица Фонвизина - Улица Фонвизина","","3","","","","","",""
"100457-2233","100457-1","с810","Метро «Домодедовская» - Домодедовское кладбище","","3","","","","","",""
"100457-2234","100457-1","539","Метро «Тимирязевская» - Рижский вокзал","","3","","","","","",""
"100457-2179","100457-1","м95","Коктебельская улица - Даниловский рынок","","3","","","","","",""
"100457-2144","100457-1","с511","Метро «Краснопресненская» - Звёздный бульвар, 34","","3","","","","","",""
"100457-2238","100457-1","с850","Ереванская улица - Метро «Каширская»","","3","","","","","",""
"100457-2123","100457-1","913","3-й Павелецкий проезд - 3-й Павелецкий проезд","","3","","","","","",""
"100457-141500628","100457-601","770","Метро «Каширская» - Метро «Каширская» (северный вход)","","3","","","","","",""
"100457-2077","100457-1","с820","Метро «Каширская» - Метро «Коломенская»","","3","","","","","",""
"100457-2101","100457-1","с809","Ст. Бирюлево-тов. - Ст. Бирюлево-тов","","3","","","","","",""
"100457-2245","100457-1","т59к","Метро «Сокол» - Ул. Марш. Тухачевского","","3","","","","","",""
"100457-161","100457-1","271","Крылатское - Метро «Терехово»","","3","","","","","",""
"100457-637","100457-1","704","Метро «Братиславская» - МЦД Перерва","","3","","","","","",""
"100457-2294","100457-1","529","Метро «Нагорная» - Университетский проспект","","3","","","","","",""
"100457-3009","100457-1","975","Дворец спорта «Сокольники» - Дворец спорта «Сокольники»","","3","","","","","",""
"100457-1677","100457-1","4","Метро «Бульвар Рокоссовского» - Курский вокзал","","0","","","","","",""
"100457-3017","100457-1","с949","МЦД Щербинка - Ямонтово","","3","","","","","",""
"100457-3019","100457-1","166к","Метро «Рассказовка» - Улица Льва Кассиля","","3","","","","","",""
"100457-3027","100457-1","с867","Каширское шоссе (Мкад) - Торговый комплекс «Садовод»","","3","","","","","",""
"100457-341","100457-1","32","Курский вокзал - Метро «Партизанская»","","0","","","","","",""
"100457-387","100457-1","46","Метрогородок - МЦД Калитники","","0","","","","","",""
"100457-404","100457-1","961","Метро «Калужская» - Научный проезд","","3","","","","","",""
"100457-3023","100457-1","с924","Троицк (микрорайон «В») - МЦД Подольск","","3","","","","","",""
"100457-3029","100457-1","с663","Метро «Лухмановская» - Индустриальный парк «Руднёво»","","3","","","","","",""
"100457-3046","100457-1","с453","Деревня Бурцево - Мелькисарово","","3","","","","","",""
"100457-3100","100457-1","739","Торговый комплекс «Садовод» - Метро «Некрасовка»","","3","","","","","",""
"100457-3048","100457-1","с711","Торговый комплекс «Садовод» - Метро «Кузьминки»","","3","","","","","",""
"100457-3047","100457-1","328","Улица Зенитчиков - Мир Митино","","3","","","","","",""
"100457-3053","100457-1","с744","Торговый комплекс «Садовод» - Метро «Люблино»","","3","","","","","",""
"100457-3101","100457-1","384к","Савёловский вокзал - Дворец спорта «Мегаспорт»","","3","","","","","",""
"100457-1875","100457-1","983","Метро «Новомосковская» - Метро «Потапово»","","3","","","","","",""
"100457-3107","100457-1","с996","Плёсково - МЦД Подольск","","3","","","","","",""
"100457-3105","100457-1","с694","Метро «Новокосино» - Торговый комплекс «Садовод»","","3","","","","","",""
"100457-3106","100457-1","747","Метро «Выхино» - Метро «Выхино»","","3","","","","","",""
"100457-141500380","100457-61","173","Братцево - Метро «Речной вокзал»","","3","","","","","",""
"100457-3115","100457-1","645п","Метро «Щёлковская» - Метро «Щёлковская»","","3","","","","","",""
"100457-3104","100457-1","356","8-й микрорайон Митина - 8-й микрорайон Митина","","3","","","","","",""
"100457-141500386","100457-101","т27","Ветеринарная академия - Метро «Таганская»","","3","","","","","",""
"100457-141500388","100457-101","с15","Платформа Лось - Малыгинский пр","","3","","","","","",""
"100457-415","100457-1","244","Вднх (главный вход) - Федоскинская ул., 9","","3","","","","","",""
"100457-141500385","100457-101","35","МЦД Курьяново - МЦД Курьяново","","3","","","","","",""
"100457-141500387","100457-101","т38","Ветеринарная академия - Метро «Кожуховская»","","3","","","","","",""
"100457-3112","100457-1","327","Метро «Бульвар Рокоссовского» - Метро «Бульвар Рокоссовского»","","3","","","","","",""
"100457-141500384","100457-601","с14","Проезд Карамзина - Проезд Карамзина","","3","","","","","",""
"100457-3111","100457-1","523","Коктебельская улица - Бутовское кладбище","","3","","","","","",""
"100457-3110","100457-1","с13","Улица Новаторов - Улица Новаторов","","3","","","","","",""
"100457-141500382","100457-601","с17","Улица Новаторов - МЦД Очаково","","3","","","","","",""
"100457-3113","100457-1","с613","3-й микрорайон Новокосина - 3-й микрорайон Новокосина","","3","","","","","",""
"100457-3116","100457-1","587","Метро «Бибирево» - МЦД Лианозово","","3","","","","","",""
"100457-3121","100457-1","555","Метро «Физтех» - Мфти","","3","","","","","",""
"100457-141500389","100457-61","746","МЦД Долгопрудная - МЦД Долгопрудная","","3","","","","","",""
"100457-3119","100457-1","с377","Братцево - МЦД Трикотажная","","3","","","","","",""
"100457-283","100457-1","26","Метро «Университет» - Метро «Октябрьская»","","0","","","","","",""
"100457-3123","100457-1","436","Метро «Выхино» - Торговый комплекс «Садовод»","","3","","","","","",""
"100457-258","100457-1","14","Метро «Университет» - Метро «Октябрьская»","","0","","","","","",""
"100457-3122","100457-1","с179","Метро «Тёплый Стан» - Метро «Саларьево»","","3","","","","","",""
"100457-190","100457-1","т","Метро «Планерная» - Метро «Планерная»","","3","","","","","",""
"100457-2040","100457-1","т","Елоховская площадь - Метро «Комсомольская»","","5","","","","","",""
"100457-3128","100457-1","925","МЦД Остафьево - Апраксинский переулок","","3","","","","","",""
"100457-2270","100457-1","967","Мега - Оби - Метро «Новомосковская»","","3","","","","","",""
"100457-2291","100457-1","485","Тропарёво - Метро «Тютчевская»","","3","","","","","",""
"100457-3129","100457-1","870","3-й микрорайон Московского - МЦД Внуково","","3","","","","","",""
"100457-3130","100457-1","147","ЖК «Юго-Западный» - Метро «Филатов Луг»","","3","","","","","",""
"100457-2271","100457-1","446","Мега - Оби - Микрорайон Град Московский","","3","","","","","",""
"100457-141500408","100457-103","785к","Тропарёво - Тропарево","","3","","","","","",""
"100457-3134","100457-1","538","Звёздный бульвар, 34 - Болотная площадь","","3","","","","","",""
"100457-1726","100457-1","т86","Серебряный бор - Метро «Сокол»","","3","","","","","",""
"100457-2023","100457-1","т85","Проезд Карамзина - Метро «Профсоюзная»","","3","","","","","",""
"100457-3131","100457-1","523к","Коктебельская улица - МЦД Бутово","","3","","","","","",""
"100457-2022","100457-1","т21","Берег Москвы-реки - Метро «Полежаевская»","","3","","","","","",""
"100457-3137","100457-1","915","Метро «Калужская» - Метро «Калужская»","","3","","","","","",""
"100457-3138","100457-1","с280","Крылатское - Кардиоцентр","","3","","","","","",""
"100457-141500415","100457-601","298","Метро «Саларьево» - Метро «Саларьево»","","3","","","","","",""
"100457-141500416","100457-601","с396","Метро «Планерная» - 4-й микрорайон Митина","","3","","","","","",""
"100457-3135","100457-1","368","Ул. Зенитчиков - Метро «Планерная»","","3","","","","","",""
"100457-141500419","100457-101","751","Ставропольский проезд - Метро «Каширская» (северный вход)","","3","","","","","",""
"100457-3195","100457-1","559","Улица Корнейчука - Метро «Ховрино»","","3","","","","","",""
"100457-141500422","100457-101","658","Метро «Братиславская» - Метро «Кузьминки»","","3","","","","","",""
"100457-3208","100457-1","125","Улица Молостовых - Красноказарменная площадь","","3","","","","","",""
"100457-3185","100457-1","500","Метро «Водный стадион» - Прибрежный проезд","","3","","","","","",""
"100457-3210","100457-1","265","Метро «Бульвар Рокоссовского» - Рижский вокзал","","3","","","","","",""
"100457-3197","100457-1","е99","1-й микрорайон Щербинки - Метро «Улица Академика Янгеля»","","3","","","","","",""
"100457-3223","100457-1","м72","Капотня - Метро «Братиславская»","","3","","","","","",""
"100457-3199","100457-1","391","Метро «Молодёжная» - Метро «Полежаевская»","","3","","","","","",""
"100457-3182","100457-1","330","МЦД Солнечная - МЦД Солнечная","","3","","","","","",""
"100457-3194","100457-1","594","Метро «Водный стадион» - Метро «Ховрино»","","3","","","","","",""
"100457-3188","100457-1","702","Южное Измайлово - Южное Измайлово","","3","","","","","",""
"100457-3192","100457-1","445","Районный центр «Нева» - Метро «Речной вокзал»","","3","","","","","",""
"100457-3207","100457-1","141","Улица Молостовых - Улица Молостовых","","3","","","","","",""
"100457-3230","100457-1","801","Районный центр «Нева» - Районный центр «Нева»","","3","","","","","",""
"100457-3200","100457-1","366","Улица Герасима Курина - Улица Герасима Курина","","3","","","","","",""
"100457-3193","100457-1","599","Метро «Вднх» - Метро «Владыкино»","","3","","","","","",""
"100457-842","100457-1","641","Метро «Аминьевская» - Метро «Аминьевская»","","3","","","","","",""
"100457-1585","100457-1","550","Метро «Рассказовка» - МЦД Переделкино","","3","","","","","",""
"100457-3190","100457-1","214","Южное Измайлово - Южное Измайлово","","3","","","","","",""
"100457-3231","100457-1","Ск1","Метро «Давыдково» - Улица Генерала Дорохова","","3","","","","","",""
"100457-3203","100457-1","471","Ветеринарная академия - Ветеринарная академия","","3","","","","","",""
"100457-3191","100457-1","780","Метро «Войковская» - Метро «Войковская»","","3","","","","","",""
"100457-141500421","100457-101","713","Метро «Марьино» - Метро «Кузьминки»","","3","","","","","",""
"100457-3186","100457-1","922","Метро «Каховская» - Красный Маяк","","3","","","","","",""
"100457-3232","100457-1","Ск2","Метро «Славянский бульвар» - Улица Генерала Дорохова","","3","","","","","",""
"100457-3180","100457-1","845","Метро «Новые Черёмушки» - Метро «Новые Черёмушки»","","3","","","","","",""
"100457-3189","100457-1","617","МЦД Перово - Ивановское","","3","","","","","",""
"100457-3229","100457-1","с289","66-й квартал Кунцева - 66-й квартал Кунцева","","3","","","","","",""
"100457-3204","100457-1","201","Ставропольский проезд - МЦД Люблино","","3","","","","","",""
"100457-3184","100457-1","544","Вднх (главный вход) - Вднх (главный вход)","","3","","","","","",""
"100457-141500420","100457-601","769","Проезд Карамзина - Проезд Карамзина","","3","","","","","",""
"100457-3202","100457-1","853","Метро «Братиславская» - Метро «Братиславская»","","3","","","","","",""
"100457-178","100457-1","159","Метро «Тёплый Стан» - Кнутово","","3","","","","","",""
"100457-3181","100457-1","361","Метро «Беляево» - Метро «Юго-Западная»","","3","","","","","",""
"100457-3196","100457-1","290","Улица Корнейчука - Метро «Бибирево»","","3","","","","","",""
"100457-3209","100457-1","219","Матвеевское - Матвеевское","","3","","","","","",""
"100457-3219","100457-1","551","Ставропольский проезд - Метро «Выхино»","","3","","","","","",""
"100457-3216","100457-1","957","Метро «Марьино» - Метро «Марьино» (южный вход)","","3","","","","","",""
"100457-3228","100457-1","680","Метро «Бульвар Рокоссовского» - Больница Соколиной Горы","","3","","","","","",""
"100457-3212","100457-1","с9","Капотня - Капотня","","3","","","","","",""
"100457-3215","100457-1","340","Метро «Римская» - Метро «Римская»","","3","","","","","",""
"100457-3220","100457-1","530","Метро «Братиславская» - Метро «Братиславская»","","3","","","","","",""
"100457-3217","100457-1","708","Южные ворота - Южные ворота","","3","","","","","",""
"100457-3213","100457-1","409","Метро «Выхино» - МЦД Новогиреево","","3","","","","","",""
"100457-3238","100457-1","с923","5-й микрорайон Тёплого Стана - Улица Островитянова, 37","","3","","","","","",""
"100457-3237","100457-1","с954","Метро «Беляево» - Метро «Беляево»","","3","","","","","",""
"100457-342","100457-1","299","Метро «Аминьевская» - Метро «Филёвский парк»","","3","","","","","",""
"100457-3240","100457-1","е143","Метро «Тёплый Стан» - Каменка","","3","","","","","",""
"100457-3241","100457-1","е144","Метро «Тёплый Стан» - Плёсково","","3","","","","","",""
"100457-3244","100457-1","е142","Метро «Тёплый Стан» - Кузовлево","","3","","","","","",""
"100457-3242","100457-1","е141","Метро «Тёплый Стан» - Усадьба Клёново","","3","","","","","",""
"100457-3243","100457-1","е148","Метро «Тёплый Стан» - Посёлок Лмс","","3","","","","","",""
"100457-1935","100457-1","600к","Метро «Тёплый Стан» - Метро «Саларьево»","","3","","","","","",""
"100457-3253","100457-1","м34","Метро «Филёвский парк» - Белорусский вокзал","","3","","","","","",""
"100457-1922","100457-1","419","Метро «Ломоносовский проспект» - Дас","","3","","","","","",""
"100457-3262","100457-1","с999","Метро «Филатов Луг» - Метро «Ольховая»","","3","","","","","",""
"100457-3263","100457-1","с936","2-й микрорайон Южного Бутова - Метро «Потапово»","","3","","","","","",""
